#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
0 	0.000277744 	32.551 	0.5 	0.2 	0.64 	1
1 	0.000277746 	14.553 	0.499997 	0.199998 	0.639995 	2
2 	0.000752416 	14.452 	0.19991 	0.0587929 	0.221345 	3
3 	0.000752408 	14.555 	0.19991 	0.0587929 	0.221345 	4
4 	0.000752042 	14.553 	0.2 	0.0588238 	0.221454 	5
5 	0.000751556 	14.353 	0.2 	0.0588238 	0.221454 	6
6 	0.000670052 	14.317 	0.199999 	0.0588286 	0.221462 	7
7 	0.000544482 	14.398 	0.199999 	0.0588809 	0.221551 	8
8 	0.000415284 	14.615 	0.199998 	0.0591115 	0.221845 	9
9 	0.000371783 	14.373 	0.199998 	0.0592935 	0.222003 	10
10 	0.000301943 	14.309 	0.199998 	0.0598598 	0.222197 	11
11 	0.000501578 	14.403 	0.199986 	0.059041 	0.221669 	12
12 	0.000390748 	14.366 	0.199989 	0.0593038 	0.221849 	13
13 	0.000371235 	14.394 	0.19999 	0.0594051 	0.221903 	14
14 	0.000356714 	14.296 	0.19999 	0.0594942 	0.221922 	15
15 	0.000325433 	14.238 	0.199991 	0.05978 	0.221966 	16
16 	0.000315265 	14.256 	0.199992 	0.0599007 	0.221964 	17
17 	0.000284454 	14.352 	0.199994 	0.0603916 	0.221781 	18
18 	0.000284454 	14.296 	0.199994 	0.0603916 	0.221781 	19
19 	0.00028308 	14.383 	0.199994 	0.0604184 	0.221739 	20
20 	0.000273742 	14.381 	0.199995 	0.0606003 	0.221484 	21
21 	0.000290369 	14.311 	0.199995 	0.0603201 	0.221651 	22
22 	0.000290357 	14.294 	0.199996 	0.0603203 	0.221651 	23
23 	0.000290356 	14.464 	0.199996 	0.0603203 	0.221651 	24
24 	0.000270112 	14.375 	0.199996 	0.0606806 	0.221382 	25
25 	0.000284991 	14.475 	0.199996 	0.0603824 	0.221635 	26
26 	0.000277438 	14.334 	0.199996 	0.0605185 	0.221536 	27
27 	0.000272418 	14.596 	0.199996 	0.0606097 	0.221478 	28
28 	0.000266296 	14.249 	0.199996 	0.0607011 	0.221478 	29
29 	0.000266296 	14.283 	0.199996 	0.0607011 	0.221478 	30
30 	0.000265531 	14.385 	0.199996 	0.0607191 	0.221442 	31
31 	0.000255779 	14.46 	0.199996 	0.0609474 	0.221062 	32
32 	0.000277612 	14.338 	0.199996 	0.0605417 	0.221354 	33
33 	0.000277651 	14.351 	0.199996 	0.0605406 	0.221356 	34
34 	0.00027765 	14.25 	0.199996 	0.0605406 	0.221356 	35
35 	0.000269162 	14.287 	0.199996 	0.0606904 	0.221268 	36
36 	0.0002572 	14.373 	0.199996 	0.0609253 	0.22112 	37
37 	0.000243486 	14.329 	0.199996 	0.0612403 	0.220895 	38
38 	0.000234769 	14.352 	0.199996 	0.0614555 	0.220763 	39
39 	0.000249736 	14.359 	0.199996 	0.0610512 	0.221124 	40
40 	0.000244795 	14.299 	0.199996 	0.0611555 	0.221087 	41
41 	0.000244652 	14.171 	0.2 	0.0611584 	0.221089 	42
42 	0.00019037 	14.329 	0.2 	0.0629848 	0.219587 	43
43 	0.000232114 	14.384 	0.199999 	0.0612938 	0.221465 	44
44 	0.000336405 	14.346 	0.199997 	0.0599236 	0.221716 	45
45 	0.000401982 	14.253 	0.199996 	0.0593641 	0.221825 	46
46 	0.000466561 	14.323 	0.199996 	0.0590408 	0.221709 	47
47 	0.000383586 	14.35 	0.199996 	0.0594356 	0.221756 	48
48 	0.00035419 	14.279 	0.199996 	0.059662 	0.221664 	49
49 	0.000330852 	14.319 	0.199996 	0.0599022 	0.221467 	50
50 	0.000297905 	14.303 	0.199996 	0.0603036 	0.221113 	51
51 	0.000275054 	14.378 	0.199996 	0.0606573 	0.220806 	52
52 	0.00025461 	14.315 	0.199996 	0.0610558 	0.220486 	53
53 	0.000245318 	14.264 	0.199996 	0.0612657 	0.22031 	54
54 	0.000229429 	14.355 	0.199996 	0.0617384 	0.219764 	55
55 	0.000215976 	14.242 	0.199996 	0.0622658 	0.219085 	56
56 	0.000215977 	14.197 	0.199996 	0.0622656 	0.219085 	57
57 	0.000215977 	14.223 	0.199996 	0.0622657 	0.219085 	58
58 	0.000209645 	14.403 	0.199997 	0.0625476 	0.218305 	59
59 	0.000204029 	14.434 	0.199997 	0.0628315 	0.217892 	60
60 	0.00019875 	14.351 	0.199997 	0.0631178 	0.217539 	61
61 	0.000193544 	15.653 	0.199997 	0.0634417 	0.217094 	62
62 	0.000193547 	14.626 	0.199996 	0.0634414 	0.217094 	63
63 	0.000193547 	14.031 	0.199996 	0.0634414 	0.217094 	64
64 	0.000188689 	14.095 	0.199997 	0.0638079 	0.216373 	65
65 	0.000186003 	14.064 	0.199996 	0.0639142 	0.216428 	66
66 	0.000176387 	14.161 	0.199997 	0.064394 	0.215946 	67
67 	0.000173303 	14.078 	0.199997 	0.0646702 	0.215605 	68
68 	0.000173302 	14.112 	0.199997 	0.0646702 	0.215605 	69
69 	0.000173302 	14.123 	0.199997 	0.0646703 	0.215605 	70
70 	0.000172556 	14.01 	0.199998 	0.0647285 	0.215385 	71
71 	0.000182381 	13.984 	0.199997 	0.0639592 	0.216337 	72
72 	0.000177219 	13.941 	0.199997 	0.0643869 	0.215657 	73
73 	0.000173694 	13.967 	0.199997 	0.0647144 	0.215129 	74
74 	0.00017021 	13.962 	0.199997 	0.0650904 	0.214519 	75
75 	0.000170211 	53.401 	0.199997 	0.0650904 	0.214519 	79
76 	0.00017021 	13.96 	0.199997 	0.0650904 	0.214519 	80
77 	0.000169559 	13.978 	0.199998 	0.0651499 	0.214299 	81
78 	0.000169557 	14.028 	0.199998 	0.06515 	0.214299 	82
79 	0.000167381 	14.023 	0.199997 	0.0653656 	0.213896 	83
80 	0.000187424 	14.051 	0.19999 	0.0638435 	0.217134 	84
81 	0.000187472 	14.111 	0.19999 	0.0638413 	0.217141 	85
82 	0.000187472 	14.2 	0.19999 	0.0638413 	0.217142 	86
83 	0.000187472 	14.025 	0.19999 	0.0638413 	0.217142 	87
84 	0.000187472 	14.011 	0.19999 	0.0638414 	0.217142 	88
85 	0.000187473 	14.004 	0.19999 	0.0638414 	0.217142 	89
86 	0.000187473 	13.989 	0.19999 	0.0638414 	0.217142 	90
87 	0.000187473 	13.981 	0.19999 	0.0638414 	0.217142 	91
